"","title.basics.rate.primaryTitle","title.basics.rate.startYear","title.basics.rate.numVotes"
"264","inception","2010",2228680
"140","fight-club","1999",1996157
"92","pulp-fiction","1994",1952890
"154","gladiator","2000",1431491
"193","inglourious-basterds","2009",1368426
"132","saving-private-ryan","1998",1323836
"222","avatar","2009",1177281
"120","titanic","1997",1118405
"212","v-for-vendetta","2005",1086094
"78","reservoir-dogs","1992",976843
"267","deadpool","2016",976388
"294","gone-girl","2014",933697
"84","jurassic-park","1993",929843
"59","die-hard","1988",847430
"237","slumdog-millionaire","2008",827011
"304","whiplash","2014",788481
"36","taxi-driver","1976",780903
"144","spider-man","2002",777591
"43","blade-runner","1982",738397
"66","indiana-jones-and-the-last-crusade","1989",729644
"242","silver-linings-playbook","2012",691519
"137","shrek","2001",650135
"38","apocalypse-now","1979",642214
"99","heat","1995",623596
"235","sherlock-holmes","2009",613020
"223","drive","2011",608109
"297","frozen","2013",603510
"134","x-men","2000",596683
"225","star-trek","2009",594792
"256","looper","2012",560692
"107","independence-day","1996",556776
"115","men-in-black","1997",546721
"157","minority-report","2002",534905
"206","watchmen","2009",533469
"260","rise-of-the-planet-of-the-apes","2011",514551
"269","oblivion","2013",508748
"49","indiana-jones-and-the-temple-of-doom","1984",472780
"281","american-hustle","2013",468433
"289","american-sniper","2014",467302
"215","hancock","2008",467247
"286","rush","2013",462001
"258","warrior","2011",457145
"214","kung-fu-panda","2008",447993
"205","war-of-the-worlds","2005",435080
"201","crash","2004",430569
"143","training-day","2001",417866
"123","armageddon","1998",414499
"192","king-kong","2005",412259
"230","godzilla","2014",403617
"232","tropic-thunder","2008",400714
"58","predator","1987",394624
"184","bruce-almighty","2003",390454
"199","collateral","2004",385649
"257","easy-a","2010",379220
"221","wanted","2008",379182
"64","batman","1989",359247
"266","men-in-black-3","2012",351883
"245","boyhood","2014",348044
"280","moonrise-kingdom","2012",339378
"253","up-in-the-air","2009",329685
"167","pearl-harbor","2001",324759
"275","how-to-train-your-dragon-2","2014",322867
"126","fantastic-four","2005",322715
"152","hellboy","2004",319844
"136","notting-hill","1999",298222
"203","serenity","2005",291818
"117","as-good-as-it-gets","1997",291728
"119","starship-troopers","1997",284491
"278","snow-white-and-the-huntsman","2012",283948
"226","clash-of-the-titans","2010",278463
"124","blade","1998",262516
"130","resident-evil","2002",262459
"131","rush-hour","1998",257190
"109","jerry-maguire","1996",256917
"95","bad-boys","1995",255953
"93","true-lies","1994",251231
"196","dawn-of-the-dead","2004",249577
"238","rocknrolla","2008",246607
"219","crank","2006",244573
"125","enemy-of-the-state","1998",238156
"268","i-am-number-four","2011",234569
"173","ghost-rider","2007",232821
"114","meet-joe-black","1998",231058
"89","natural-born-killers","1994",228275
"87","true-romance","1993",220440
"188","garden-state","2004",213622
"176","rush-hour-2","2001",212308
"161","blade-ii","2002",211298
"96","clueless","1995",204326
"236","hanna","2011",196414
"62","who-framed-roger-rabbit","1988",194373
"111","air-force-one","1997",190842
"121","tomorrow-never-dies","1997",190734
"141","cruel-intentions","1999",187860
"244","eagle-eye","2008",184146
"145","high-fidelity","2000",176077
"72","point-break","1991",174322
"314","legend","2015",171911
"80","army-of-darkness","1992",171775
"85","sleepless-in-seattle","1993",171039
"118","three-kings","1999",168033
"177","punch-drunk-love","2002",158992
"133","wild-wild-west","1999",158547
"48","dune","1984",157075
"52","commando","1985",155836
"213","next","2007",155614
"252","pandorum","2009",148850
"240","defiance","2008",145015
"42","conan-the-barbarian","1982",144978
"265","remember-me","2010",143812
"86","tombstone","1993",140300
"248","foxcatcher","2014",140211
"290","into-the-woods","2014",138473
"239","gamer","2009",133550
"310","still-alice","2014",132155
"82","cliffhanger","1993",126856
"299","wild","2014",126705
"218","max-payne","2008",125074
"220","hall-pass","2011",124108
"61","twins","1988",121260
"101","leaving-las-vegas","1995",120898
"229","priest","2011",118689
"44","tron","1982",118590
"186","catwoman","2004",116558
"100","judge-dredd","1995",115924
"139","entrapment","1999",113457
"24","bonnie-and-clyde","1967",109805
"190","hostage","2005",109527
"63","willow","1988",109278
"241","legion","2010",103563
"9","it-happened-one-night","1934",100755
"276","colombiana","2011",99506
"274","30-minutes-or-less","2011",98712
"270","drive-angry","2011",97585
"103","broken-arrow","1996",96385
"209","land-of-the-dead","2005",95385
"243","i-love-you-phillip-morris","2009",94631
"129","out-of-sight","1998",90667
"68","wild-at-heart","1990",90641
"146","never-been-kissed","1999",88575
"255","jane-eyre","2011",86126
"182","solaris","2002",81707
"94","assassins","1995",81540
"69","backdraft","1991",77836
"191","walking-tall","2004",74713
"204","youth-in-revolt","2009",73840
"227","speed-racer","2008",72426
"251","ninja-assassin","2009",71193
"309","a-most-violent-year","2014",70542
"102","strange-days","1995",70513
"5","frankenstein","1931",70228
"98","hackers","1995",68526
"77","el-mariachi","1992",66141
"216","tmnt","2007",63546
"88","heavenly-creatures","1994",62717
"164","save-the-last-dance","2001",60529
"142","lake-placid","1999",59685
"57","moonstruck","1987",57177
"71","hudson-hawk","1991",55492
"40","flash-gordon","1980",54961
"110","absolute-power","1997",53664
"65","black-rain","1989",53204
"234","fair-game","2010",48505
"231","nine","2009",43523
"159","reindeer-games","2000",39480
"198","whiteout","2009",38463
"112","deep-rising","1998",36248
"128","hard-rain","1998",34927
"165","get-carter","2000",34125
"211","feast","2005",31266
"302","belle","2013",29877
"116","metro","1997",27208
"194","new-york-minute","2004",23047
"67","nightbreed","1990",22261
"50","supergirl","1984",21649
"12","ninotchka","1939",20622
"6","grand-hotel","1932",18773
"153","thunderbirds","2004",13757
"113","inventing-the-abbotts","1997",12573
"74","deep-cover","1992",10969
"33","gone-in-60-seconds","1974",8927
"300","bad-country","2014",8443
"51","code-of-silence","1985",7796
"83","even-cowgirls-get-the-blues","1993",7391
"162","ticker","2001",7369
"19","les-miserables","1952",1043
"79","arctic-blue","1993",1038
"207","crazylove","2005",400
"308","judge","2013",155
